sector_scope,dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all
ALL_NON_FINANCIAL,VALUATION,HIGH,252d,351,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.5166986897159962,0.10327061567548368,0.6096866096866097,0.2485071152853711,-0.04473446980454687,0.4444444444444444,1.324297320606189,-0.08406068276121864,0.5281568862892835,0.09360471610391943,0.3332334461523141,0.7001639332796783,0.15820089867620885,0.20662492831062684,0.8267724511213655,0.09081135406575294,0.07051686131649532,0.42649736925424686,0.10994525428168007,0.03301441689327814,0.463999813677464,0.03439385836616642,0.16844731782988637,0.007691435936852843,0.20109763385091273,-0.11390408873628344,0.018423789255829517,-0.1048748417804148,0.013631849833217578,-0.07921921241902674,-0.05779942908134006,-0.0706634692246203
ALL_NON_FINANCIAL,VALUATION,HIGH,504d,284,36,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.8263619740175017,0.2916745803810158,0.7288732394366197,0.3252900912733139,-0.0015787176477430886,0.5,1.6381932227984493,-0.01555233886980159,1.0456939404818235,0.14705824279045093,0.5381278181482179,1.1145961298867855,0.19175941242921793,0.45051352565623454,1.2022104223787689,0.14358634781831692,0.04386084954941272,0.606719332997215,0.11465483538044251,0.10056661392764657,0.5500135686189812,0.11973765101436078,0.530033258901427,0.13855688647089165,0.5039001773105364,-0.14582924080094428,0.17360145782596703,-0.10809099281591963,0.060058087877569166,-0.1376757686402582,-0.08639635369367604,-0.05455291222313374
ALL_NON_FINANCIAL,VALUATION,NOT_MEANINGFUL,60d,171,38,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10382084891361232,0.06291666824092035,0.6491228070175439,0.030696358405700036,-0.015051522572182785,0.4678362573099415,0.2388731025170405,-0.03596314287315189,0.19061213968727553,0.018856435639185515,0.06686223506080871,0.14077946276641592,0.024501088186998032,0.055798716067096174,0.15184298176012845,0.0170368690867451,-0.002695905004320362,0.06408862181572043,0.018923677215051924,-0.006394048935801734,0.0677867657472018,0.03722649465173907,0.12437942578622725,0.006802811334033931,0.097881501412299,-0.031009551116981737,0.029312396262278884,-0.031939101870509745,0.033062809521476805,0.010014965723376457,-0.01912065789844153,-0.043481985033600457
ALL_NON_FINANCIAL,VALUATION,NOT_MEANINGFUL,120d,169,38,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.21851717996044645,0.11244330413214265,0.6923076923076923,0.11003192868054754,0.009675772059699383,0.5207100591715976,0.4454897332715674,-0.0419578888207478,0.31086168116711055,0.04566016469723102,0.12902325715387364,0.30801110276701926,0.04090467258315979,0.13834402169745327,0.2986903382234396,0.041793409250535415,0.02811684654949813,0.19194701081159693,0.04723189593877706,0.017457412640544498,0.20260644472055056,0.07841802139403631,0.18742810174339997,0.0763147852654884,0.1525172867286941,-0.020683011957575326,0.07357232948856064,-0.03683200068564141,0.08385835775950058,0.034012079012527785,0.009872217171988718,0.02242591366713642
ALL_NON_FINANCIAL,VALUATION,NOT_MEANINGFUL,252d,168,38,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.5982061003466866,0.19509999730756433,0.7023809523809523,0.396452817677349,0.015023431859539693,0.5238095238095238,1.4083034896071724,-0.04847410046406253,0.6111782019788019,0.14146657243363578,0.32093161837676054,0.8754805823166127,0.14928057019659116,0.305616182761368,0.8907960179320054,0.12683881930379473,0.14784873184191136,0.6450569035127867,0.1412381997586442,0.11962594615040639,0.6732796892042916,0.1328196838563771,0.3065629077889475,0.04944162949862041,0.28478488928167356,-0.034294356950737,0.15977936994867425,-0.032510376500857634,0.09285105418856898,0.012610169213053912,0.0019584725827465066,0.008701610140459115
ALL_NON_FINANCIAL,VALUATION,NOT_MEANINGFUL,504d,164,37,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,1.38503511965268,0.3921809952188786,0.7560975609756098,0.9583725503703102,0.007653076675997628,0.5182926829268293,2.73328797071998,0.010083926645687746,1.203832921767687,0.3897780429120657,0.6210701555450313,2.1490000837603285,0.2861883964022106,0.8241058627043473,1.9459643766010126,0.37602780047677764,0.22135806143582604,1.6953870393047943,0.25853746372565356,0.4516391214680292,1.4651059792725913,0.21749948851923961,0.5872712276139073,0.18196790290031578,0.5127405170708331,-0.07086863815112321,0.28499807376130026,-0.0701777064449709,0.1599492600634801,-0.03716935380239539,-0.07716455936993533,-0.03626022929630446
GENERAL,VALUATION,LOW,60d,225,29,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.1091228167038273,0.07430997829791153,0.7066666666666667,0.05707500538673441,0.02879330028602256,0.5955555555555555,0.20957539950387769,-0.01941749023926931,0.1842105703976602,0.015244790229603292,0.07924302785380485,0.13900260555384975,0.027407777310647554,0.055403573174958094,0.1628420602326965,0.014043405858562145,0.02954992990395261,0.08460008086951622,0.020822456256878487,0.01626299112325258,0.09788701965021625,0.05681839117577958,0.0878828633515133,0.03328341680803331,0.10629935620542508,0.009825493360840147,0.04545537368536623,-0.0027306526639878535,0.06342004983974625,0.014903987482174141,0.018873177765951987,0.06492707504640671
GENERAL,VALUATION,LOW,120d,224,29,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.19118973925110866,0.09765984913136316,0.7410714285714286,0.10156041385711236,0.03130055247546876,0.5803571428571429,0.35113554304037414,-0.0021892913051377305,0.280068969594405,0.029242046416220767,0.13387532827531595,0.24850415022690137,0.04438056903276299,0.1042038239468932,0.2781756545553241,0.030495744107874232,0.04178875540567886,0.16133207230854585,0.0402780582347457,0.022615419717010782,0.18050540799721393,0.06500658438430824,0.14545457582200894,0.05967095722166385,0.14424185320497368,0.0069124761897116915,0.05905210627852808,0.005676872919540164,0.056753979547853106,0.01459807862687057,0.02368652314969727,0.06968390804597702
GENERAL,VALUATION,LOW,252d,222,29,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.5304670776010737,0.29354961430852733,0.8468468468468469,0.29322399592843473,0.13231609687725515,0.6351351351351351,0.6822789046294864,0.10254220633600242,0.7452533755045038,0.06654313994015863,0.40004252331836276,0.6608916318837846,0.08159734657878552,0.3705362783066541,0.6903978768954933,0.06732220193273741,0.1612724801402694,0.42517551171660006,0.07555071965477606,0.14514458540507366,0.4413034064517958,0.2176310114600607,0.4395826765725259,0.20571672726715332,0.42465333272610817,0.06394178056362927,0.21475238343169478,0.05673736442064459,0.20514724392080672,0.09806615105372207,0.10094645854660367,0.10243289761362051
GENERAL,VALUATION,LOW,504d,218,29,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,1.0517558337942114,0.6337017788082021,0.9220183486238532,0.5275921178044566,0.2689650826780948,0.6559633027522935,1.2650540232908012,0.2398545611658185,1.372904920824153,0.11794163023707102,0.8205902385295523,1.2829214290588706,0.1081841884678448,0.8397148243972357,1.2637968431911872,0.11059495027015617,0.31082601527495046,0.7443582203339627,0.0732274832320826,0.38406625066957467,0.6711179849393385,0.45024133275341605,0.9109226089946771,0.4604955489826972,0.8264390622860769,0.07597609598268605,0.42040058630147253,0.14592984055285374,0.3268100708105375,0.16293219652407365,0.14506812356711807,0.06894265378474196
GENERAL,VALUATION,NORMAL,60d,633,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10272881309904802,0.05128201305836688,0.6777251184834123,0.036204284805785844,0.007064587756358431,0.5260663507109005,0.2672192698199008,-0.018716541759470573,0.15636381738764715,0.012510253250994719,0.07820871672709837,0.12724890947099768,0.020465692751103888,0.06261605530688441,0.14284157089121163,0.012444899181692162,0.011812282409669209,0.06059628720190248,0.01455621452828495,0.007674104330347341,0.06473446528122434,0.03756477625589705,0.06993165814559787,0.03119792883972906,0.06829727121647232,-0.009958753713065531,0.022711668750044493,-0.015521819022436212,0.02486290817655042,-0.0081239
